video_name,shooting_arm,S_avg_knee_bend,S_max_knee_bend,S_avg_body_lean,S_max_body_lean,S_min_body_lean,S_frame_count,R_avg_hip_angle,R_avg_knee_bend,R_avg_elbow_angle,R_max_wrist_height,R_avg_knee_velocity,R_frame_count,F_release_angle,F_elbow_above_eye,F_body_lean_angle,F_hip_angle,F_knee_angle,y
MAKE-AD-3.mov,RIGHT,143.10809847744912,141.84066329692337,5.313640415190895,6.255542240030103,3.766811467370728,6,171.3208697472504,155.46148931894464,116.85778031183384,3.2127150074321076,107.71203893167304,8,48,-2.8753892500428244,-2.3899724887231484,178.66194933041317,168.89458862463846,1
MAKE-7.mov,RIGHT,150.1575191211047,149.1109614136559,-1.9029430495521833,0.0,-4.10411638989445,5,174.51204846483773,158.65874290710278,114.31997392254613,5.684271400293825,72.74516013076834,11,65,14.965704839595768,-3.4978834853152785,176.7743454515826,174.04508359610986,1
MAKE-19.mov,RIGHT,169.7287396695237,161.8143514756843,5.709900686814136,6.173145005959863,5.419613988097237,6,175.42036560762253,179.1431747722498,147.71917494712918,2.4528432701691787,10.326078847732845,3,47,-6.305294395598087,8.173906830731923,175.56254685583912,179.28675414416517,1
MAKE-18.mov,RIGHT,155.37494335848018,152.50613591666811,6.106027862443987,6.398476937129079,5.666935621494684,6,173.372631993871,174.1949068385684,128.82436793888178,1.8593964117251267,141.88557287753596,3,41,-8.563853397165595,6.972742416105452,175.6157777478933,178.70932859037168,1
MAKE-6.mov,RIGHT,151.3329965964223,148.8745135086198,-1.8158338413002983,0.0,-2.716561867991943,6,174.56708261759226,159.5731075606497,116.53136703282536,5.3890034277662195,88.91948126145962,10,64,8.433386411471599,-5.419696237547588,176.537107338154,175.05779801753158,1
MAKE-AD-2.mov,RIGHT,141.4332619350227,138.82232105986452,5.775445208783661,6.830614337439726,3.917269315026741,7,170.38419604630067,153.76609708462806,115.67862386303555,2.8648601606620794,106.93005221374592,7,44,-7.262834626621445,-2.8196703539420436,179.58999909138004,164.94316959273488,1
MAKE-4.mov,RIGHT,153.41754258175524,151.88843364091798,-0.892051152534972,0.3987038020874546,-2.6767785433659403,6,173.86698410043329,159.47085812286338,111.08810756146814,5.315431422914485,67.9033671656174,10,66,13.43632749298671,-1.6984775332503803,179.83399927514475,173.53094593045392,1
MAKE-5.mov,RIGHT,156.80890723970523,155.94047787359284,-2.476558172836287,0.0,-3.709248409958298,5,175.0040710804568,160.3477007173817,109.5649408643726,5.005653005727724,42.46400949356806,11,63,12.891704140359709,-3.649376853691207,179.6224276073165,171.65283009719806,1
MAKE-AD-1.mov,RIGHT,138.9793972806725,136.18645218282188,8.98385333103129,11.075948473465925,6.36082960532722,7,167.55902106747251,153.05018019594766,122.67884975750005,3.170176708885924,118.74439433376553,7,51,-2.031669802982212,-0.5045036840438015,177.95723407008057,165.53723686542702,1
MAKE-8.mov,RIGHT,151.5702681519636,149.42744585647466,-2.2519341209886585,0.0,-3.577974591677475,5,174.46077544770037,158.24395123277043,111.7756119458604,5.617878392032876,73.17051590715337,11,65,14.40190151915936,-4.1359525648886395,176.4274571923427,174.38654779844003,1
MAKE-16.mov,RIGHT,139.5202010435672,136.42552481511882,12.314196100731133,12.918797317434588,11.89858186442333,6,163.03866056042295,154.4945532448032,124.39294426796351,4.892782449471939,135.13434199941688,8,61,11.272266996929204,3.043340280436364,176.68265190110793,169.95253606961242,1
MAKE-17.mov,RIGHT,156.26198285204762,150.82162490259253,9.08280895626972,11.179660233295705,5.803776415150486,8,175.78214349274467,177.5100348931388,133.8460529402162,1.9206637243637643,61.25223435509639,3,43,-9.314082289785178,6.450938491322296,177.06967130444514,178.93366218805454,1
MAKE-9.mov,RIGHT,144.66983369550826,140.28604386752784,-2.88647497946272,0.0,-3.2430527915962313,5,172.16407887955145,155.4527520523788,113.8347535708133,5.232573992144606,110.02993155771172,11,62,9.006996194391752,-4.966554251809069,174.71147222984658,176.24286447108926,1
MAKE-15.mov,RIGHT,139.4561177958495,137.9920863084845,13.362343636332236,14.070208182173143,12.567491445166295,5,161.3687503258265,152.52386598279324,121.2396072494087,5.000467386921898,122.56860855645787,8,62,10.929329556573078,3.00471213490247,174.9208632080184,167.77977515001595,1
MAKE-14.mov,RIGHT,141.44279088631106,139.62431346204778,14.544872405141389,15.52009399159174,13.41561336934463,6,162.08536376938198,153.4584597419138,123.71549998991536,5.392016735881646,98.96059812235778,8,63,16.039368237786437,3.466935507256655,174.3300759425699,165.76792626125425,1
MAKE-10.mov,RIGHT,149.88759002928617,146.67340873535733,-3.2850137922885394,0.0,-4.039223294073794,5,174.47243531820217,156.75883503331045,108.42336764685491,5.050989607600834,76.97460810841397,11,60,9.22533071328728,-4.699132601608872,178.07533403688768,173.09149834531047,1
MAKE-11.mov,RIGHT,153.46076929626614,151.60372587974598,-3.939702956926209,0.0,-5.084603962267162,4,174.22846329092883,156.1205681152258,109.22569503835136,4.723779628443305,66.30590346892674,11,59,3.629212043561819,-4.468650254694764,178.47320012369383,172.90620020266934,1
MAKE-13.mov,RIGHT,143.08604918727198,140.82511392893113,15.154245038466769,16.271923249332477,14.156782123419465,6,162.32753936701602,157.1378432883717,122.61430731993283,4.880257344209397,109.2975474932868,9,66,13.010173787703824,1.5679451246873848,176.62621677279378,171.2197253840357,1
MAKE-12.mov,RIGHT,145.27183607299304,142.1966700015402,13.038234449064811,13.690177848492054,11.491793052635646,6,162.01546659015642,155.32768631290324,122.87434274823056,5.1242663785568086,97.62893438999193,9,65,10.985373719386066,1.0848611976685711,175.51881171524226,169.26538121512385,1
MISS-16.mov,RIGHT,159.72749728551503,153.47464330842604,6.1970986706473346,7.406863037885685,5.43503473660487,6,175.9262427737808,178.31082879449002,139.1014174179849,2.1322698002052016,32.299684236904795,3,45,-6.2965198892179535,6.314834881051542,176.9970083384575,178.7831718771912,0
MISS-1.mov,RIGHT,156.44267576032274,154.4000650496005,-1.12474126777289,0.020176674051419,-2.7426814648648765,5,172.55142237094924,158.8921768607346,107.22266363652383,4.934538946064753,47.3176978555378,11,60,13.0140591150226,-3.151157393321044,178.39808967091787,169.74176407973664,0
